    E(eV)    dE(eV)  Phi(deg)    dPhi      Theta    dTheta   Log10(FDV)
				(deg)      (deg)    (deg)     FDV in s^3/km^3/cm^3
  24.5942    7.5905   46.8750   22.5000  -11.2500   22.5000  -10.9793
  24.5942    7.5905   69.3750   22.5000  -11.2500   22.5000  -10.8637
  24.5942    7.5905   46.8750   22.5000  -33.7500   22.5000  -10.9146
  24.5942    7.5905   69.3750   22.5000  -33.7500   22.5000  -10.8426
  24.5942    7.5905   24.3750   22.5000  -11.2500   22.5000  -11.0562
  24.5942    7.5905    1.8750   22.5000  -11.2500   22.5000  -11.0973
  24.5942    7.5905   24.3750   22.5000  -33.7500   22.5000  -10.9658
  24.5942    7.5905    1.8750   22.5000  -33.7500   22.5000  -10.9965
  24.5942    7.5905   58.1250   45.0000  -56.2500   22.5000  -10.8047
  24.5942    7.5905   13.1250   45.0000  -56.2500   22.5000  -10.8531
  24.5942    7.5905   35.6250   90.0000  -78.7500   22.5000  -10.7246
  24.5942    7.5905   46.8750   22.5000   11.2500   22.5000  -11.0034
  24.5942    7.5905   69.3750   22.5000   11.2500   22.5000  -10.8708
  24.5942    7.5905   46.8750   22.5000   33.7500   22.5000  -10.9729
  24.5942    7.5905   69.3750   22.5000   33.7500   22.5000  -10.8737
  24.5942    7.5905   24.3750   22.5000   11.2500   22.5000  -11.0744
  24.5942    7.5905    1.8750   22.5000   11.2500   22.5000  -11.1141
  24.5942    7.5905   24.3750   22.5000   33.7500   22.5000  -11.0221
  24.5942    7.5905    1.8750   22.5000   33.7500   22.5000  -11.0607
  24.5942    7.5905   58.1250   45.0000   56.2500   22.5000  -10.8600
  24.5942    7.5905   13.1250   45.0000   56.2500   22.5000  -10.9126
  24.5942    7.5905   35.6250   90.0000   78.7500   22.5000  -10.7953
  24.5942    7.5905  294.3750   22.5000  -11.2500   22.5000  -10.9058
  24.5942    7.5905  271.8750   22.5000  -11.2500   22.5000  -10.7778
  24.5942    7.5905  294.3750   22.5000  -33.7500   22.5000  -10.8465
  24.5942    7.5905  271.8750   22.5000  -33.7500   22.5000  -10.7564
  24.5942    7.5905  316.8750   22.5000  -11.2500   22.5000  -11.0077
  24.5942    7.5905  339.3750   22.5000  -11.2500   22.5000  -11.0767
  24.5942    7.5905  316.8750   22.5000  -33.7500   22.5000  -10.9337
